model,mae,rmse,r2,med_ae
LightGBM Regressor,22.316135112777996,79.03026778066263,-0.017932862465111166,1.0699597264708096
CatBoost Regressor,22.53269300787178,79.72189051470232,-0.035827426698038733,0.4029946752602499
Ridge Regression,23.21920730092719,79.94876738587422,-0.04173144326124212,2.390658939139774
Median Baseline,23.39677296940224,81.75060012421498,-0.089216288063801,0.0
Mean Baseline,28.626866643028002,78.85118097465607,0.0,14.354809365714425
