threshold,accuracy,precision,recall,f1
0.1,0.4340609144190361,0.2852872612422921,0.870925160697888,0.4297892828820664
0.11,0.4593739897960618,0.29154530503873666,0.8444674012855831,0.4334467470873286
0.12000000000000001,0.48471517519571605,0.29886667781866844,0.8203053259871441,0.43811304561059344
0.13,0.5079340538869134,0.3058940397350993,0.7952823691460055,0.4418404438492443
0.14,0.530323686910568,0.3128904696164916,0.7674471992653811,0.4445404830371836
0.15000000000000002,0.5528960350813082,0.32099041931068806,0.7403007346189164,0.4478119738235345
0.16,0.5722357306497632,0.32775556673462364,0.7104568411386594,0.4485713768050296
0.17,0.5927701021799322,0.33663366336633666,0.6829660238751147,0.4509796490696176
0.18,0.6115194872731873,0.34536207314119644,0.6547291092745638,0.45219597272871415
0.19,0.628919591280271,0.3540637191157347,0.6250573921028466,0.45205877469699485
0.2,0.6435789680810693,0.36191835172101766,0.5968204775022957,0.45059254284290573
0.21000000000000002,0.6582383448818676,0.37115830404546474,0.5697314049586777,0.4494906044826806
0.22,0.670817580008152,0.3793894050923133,0.5413223140495868,0.44611564384533525
0.23,0.6824832393990077,0.38828108108108106,0.5153236914600551,0.44287158746208294
0.24000000000000002,0.6934039831902065,0.39743949163629566,0.48817722681359044,0.43815999587905013
0.25,0.7030176109291768,0.4066968781470292,0.46355601469237834,0.4332689625576655
0.26,0.7117738829779758,0.41617271194735983,0.43922176308539945,0.4273867031524865
0.27,0.7198695694950035,0.4264075617918159,0.4168388429752066,0.421568911977247
0.28,0.7274592756047169,0.4376149698699651,0.39594811753902664,0.41574015487058963
0.29000000000000004,0.733404545390659,0.4469707377387004,0.3734504132231405,0.4069163904696392
0.30000000000000004,0.7393357601652869,0.45839513497478496,0.35474058769513317,0.39996117510029766
0.31,0.7442971791592292,0.4691585786476297,0.3356864095500459,0.39135525743534844
0.32,0.7492585981531715,0.48203178991015894,0.3202479338842975,0.38482758620689655
0.33,0.7526036908459711,0.4916651058250609,0.3013085399449036,0.37363888691196356
0.33999999999999997,0.7558363434482565,0.5026369168356998,0.284435261707989,0.36328984019938426
