accuracy,precision,recall,f1,roc_auc,pr_auc,confusion_matrix,threshold,model
0.7726039719461975,0.6797574357493503,0.1351010101010101,0.22540336094221286,0.6793727195385472,0.45760773926854403,"[[52616, 1109], [15070, 2354]]",0.48,Ensemble Blend (LGBM + XGB + CatBoost)
0.7723509817425404,0.6948237535725628,0.12557392102846648,0.21270597384921985,0.6800564680606137,0.45819233113336716,"[[52764, 961], [15236, 2188]]",0.51,XGBoost
0.7719152763917975,0.6661111111111111,0.13762626262626262,0.22812024353120244,0.678189266069041,0.4551078400941687,"[[52523, 1202], [15026, 2398]]",0.48,LightGBM
0.7717325612447118,0.6798418972332015,0.1283287419651056,0.21590305605175494,0.6760882317185989,0.45243514617639347,"[[52672, 1053], [15188, 2236]]",0.48,CatBoost
0.7711563057808262,0.7581374321880651,0.0962465564738292,0.17080871867997555,0.6756387156176169,0.45195584065108274,"[[53190, 535], [15747, 1677]]",0.56,HistGradientBoosting
0.7633979395353413,0.6411483253588517,0.07690541781450873,0.13733729630009225,0.6608506102524462,0.4057512326098463,"[[52975, 750], [16084, 1340]]",0.56,Logistic Regression
0.7551054828599137,0.0,0.0,0.0,0.5,0.2448945171400863,"[[53725, 0], [17424, 0]]",0.5,Majority Class Baseline
